scenario,clients,server,method,reqs,fails,avg_delay,min_delay,max_delay,duration,io_ops,io_duration,cpu_ops,cpu_duration,cpu_user,cpu_system,cpu_children_user,cpu_children_system,mem_virt,mem_res,mem_uni
highcpu,10,asyncio,/parallel-io,658,0(0.00%),255,129,843,270,7980,411.5,8672,82.9,171.1,2.5,0.0,0.0,1578.8,38.3,29.6
highcpu,10,asyncio,/sequential-io,666,0(0.00%),717,315,1824,270,7980,411.5,8672,82.9,171.1,2.5,0.0,0.0,1578.8,38.3,29.6
highcpu,10,asyncio,/no-io,685,0(0.00%),43,11,248,270,7980,411.5,8672,82.9,171.1,2.5,0.0,0.0,1578.8,38.3,29.6
highcpu,10,tornado2,/no-io,661,0(0.00%),24,8,126,256,7887,406.7,8546,81.7,124.1,4.0,0.0,0.0,1556.2,28.6,23.9
highcpu,10,tornado2,/parallel-io,671,0(0.00%),182,100,484,256,7887,406.7,8546,81.7,124.1,4.0,0.0,0.0,1556.2,28.6,23.9
highcpu,10,tornado2,/sequential-io,677,0(0.00%),566,338,1077,256,7887,406.7,8546,81.7,124.1,4.0,0.0,0.0,1556.2,28.6,23.9
highcpu,10,tornado3,/no-io,645,0(0.00%),34,9,162,267,7964,410.7,8596,82.1,158.2,3.2,0.0,0.0,1559.1,32.7,24.4
highcpu,10,tornado3,/sequential-io,679,0(0.00%),685,346,1499,267,7964,410.7,8596,82.1,158.2,3.2,0.0,0.0,1559.1,32.7,24.4
highcpu,10,tornado3,/parallel-io,685,0(0.00%),229,109,579,267,7964,410.7,8596,82.1,158.2,3.2,0.0,0.0,1559.1,32.7,24.4
highcpu,20,asyncio,/no-io,657,0(0.00%),49,9,195,144,8028,414.0,8681,82.9,113.7,1.4,0.0,0.0,1579.2,38.8,29.9
highcpu,20,asyncio,/parallel-io,668,0(0.00%),260,117,518,144,8028,414.0,8681,82.9,113.7,1.4,0.0,0.0,1579.2,38.8,29.9
highcpu,20,asyncio,/sequential-io,694,0(0.00%),808,389,1368,144,8028,414.0,8681,82.9,113.7,1.4,0.0,0.0,1579.2,38.8,29.9
highcpu,20,tornado2,/parallel-io,661,0(0.00%),184,96,395,134,7997,412.4,8647,82.6,89.8,4.7,0.0,0.0,1556.6,32.6,28.0
highcpu,20,tornado2,/no-io,662,0(0.00%),20,7,71,134,7997,412.4,8647,82.6,89.8,4.7,0.0,0.0,1556.6,32.6,28.0
highcpu,20,tornado2,/sequential-io,696,0(0.00%),619,350,1050,134,7997,412.4,8647,82.6,89.8,4.7,0.0,0.0,1556.6,32.6,28.0
highcpu,20,tornado3,/sequential-io,625,0(0.00%),946,439,1816,146,7718,398.0,8384,80.1,112.0,2.2,0.0,0.0,1559.7,33.3,24.8
highcpu,20,tornado3,/no-io,687,0(0.00%),33,8,101,146,7718,398.0,8384,80.1,112.0,2.2,0.0,0.0,1559.7,33.3,24.8
highcpu,20,tornado3,/parallel-io,707,0(0.00%),277,110,731,146,7718,398.0,8384,80.1,112.0,2.2,0.0,0.0,1559.7,33.3,24.8
highcpu,40,asyncio,/sequential-io,666,0(0.00%),2374,1017,3505,114,8277,426.9,8966,85.7,105.9,1.4,0.0,0.0,1586.0,45.4,36.7
highcpu,40,asyncio,/parallel-io,685,0(0.00%),737,274,1268,114,8277,426.9,8966,85.7,105.9,1.4,0.0,0.0,1586.0,45.4,36.7
highcpu,40,asyncio,/no-io,688,0(0.00%),172,10,550,114,8277,426.9,8966,85.7,105.9,1.4,0.0,0.0,1586.0,45.4,36.7
highcpu,40,tornado2,/sequential-io,664,0(0.00%),2254,839,3313,105,8008,412.9,8695,83.1,84.7,5.1,0.0,0.0,1557.5,29.7,25.0
highcpu,40,tornado2,/parallel-io,681,0(0.00%),491,199,845,105,8008,412.9,8695,83.1,84.7,5.1,0.0,0.0,1557.5,29.7,25.0
